District,Station,DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Chennai,Nungambakkam,27,18.4,35.7,5.9,15.6,56.4,66.5,161.7,300.3,437.7,216.3,655.1,839.8
Chennai,Nungambakkam,28,18.9,35.9,5.9,15.8,56.4,68.7,166.9,303.8,443.5,234.5,664.3,842.8
Chennai,Nungambakkam,29,19.2,,5.9,15.8,56.5,72.7,172.9,306.1,451,256.2,667.3,844.7
Chennai,Nungambakkam,30,19.3,,5.9,15.9,57.1,74.8,176.2,311.5,458.7,273,673.5,850.8
Chennai,Nungambakkam,31,19.5,,5.9,,57.5,,178.6,316.9,,292.7,,853.3
Chennai,Meenambakkam,1,1.5,25.5,0.1,8.4,25.6,1.2,85.3,213.5,356.7,6.8,308.5,669.9
Chennai,Meenambakkam,2,3.8,25.6,0.1,8.7,26.4,2.3,88.2,217.1,358.7,10,322.4,689.2
Chennai,Meenambakkam,3,5.6,25.7,0.5,8.8,27.7,6,92.3,222.3,363.9,17.8,336.3,705.5
Chennai,Meenambakkam,4,6.7,25.7,0.9,8.9,29.9,8.6,94,227.3,372.2,22.7,349.2,717.3
Chennai,Meenambakkam,5,8.1,25.7,1,9.6,31.4,12.6,97.5,230.1,377.4,30.2,366.8,724.5
Chennai,Meenambakkam,6,8.5,25.9,1,12.2,33.9,13.2,102.1,233.8,381.8,36.9,386.8,732.5
Chennai,Meenambakkam,7,10.4,26.5,1.7,12.4,37.9,18.4,105.1,237.7,385.5,43.6,407.9,741
Chennai,Meenambakkam,8,12,26.9,1.7,12.4,41.9,19.9,106.9,241.4,389.5,46,425.3,746
Chennai,Meenambakkam,9,12.6,26.9,1.7,12.4,43.7,23.7,109.7,246.8,393.4,51.9,436.7,751.4
Chennai,Meenambakkam,10,13.4,26.9,2.1,12.9,43.8,25,116.4,252.2,398,56.8,448.5,754.8
Chennai,Meenambakkam,11,14,26.9,2.2,13.1,46.4,26.3,119.9,255.4,408.3,59.8,457.5,759.8
Chennai,Meenambakkam,12,14.9,27.3,3,14,48.6,29,126,260.4,411.9,64.7,479.3,765.3
Chennai,Meenambakkam,13,17.3,27.8,3.1,14.6,50.2,31.7,131.7,263.4,414.5,70.4,503.7,774.5
Chennai,Meenambakkam,14,18.5,28.3,3.5,15.5,51,40,135,269,418.6,75.8,508.8,780.6
Chennai,Meenambakkam,15,19.2,28.5,3.5,16.1,51.5,44.2,141.6,274.4,423.8,80,514.7,786.2
Chennai,Meenambakkam,16,21.2,30,3.5,18.4,53.9,45.3,147.1,279.2,428.5,85.5,525.9,791.6
Chennai,Meenambakkam,17,22.8,33.1,3.6,18.8,57,45.9,149.2,287.1,435,93.1,535.6,793.9
Chennai,Meenambakkam,18,23.2,33.9,4,19.9,59.6,48.4,152.1,292.8,439.6,106.9,542.7,797
Chennai,Meenambakkam,19,23.4,34.7,4,20.2,62.8,49.4,155.9,297.3,446.1,116.5,549.2,800.5
Chennai,Meenambakkam,20,23.5,34.8,4,20.2,64.9,51.8,160.7,303.4,451.9,127.9,553,802.3
Chennai,Meenambakkam,21,23.5,34.8,4.1,20.2,66.4,54.3,166.1,308.4,456.8,140.8,561.5,805.8
Chennai,Meenambakkam,22,23.6,35.3,5.9,21.4,66.6,57.3,168.4,313.9,459.6,150.6,575,808.3
Chennai,Meenambakkam,23,23.6,35.6,5.9,22.8,66.6,63.6,170.8,316.8,465.1,160.2,582.2,813
Chennai,Meenambakkam,24,23.6,38.5,5.9,22.8,67.2,66.2,173.7,320.3,469.2,177.5,597.1,817.3
Chennai,Meenambakkam,25,24,39.2,7.2,23.2,67.5,67.5,178.7,325.8,476.5,194.4,615.7,819.7
Chennai,Meenambakkam,26,24.1,39.2,7.2,24.2,69,68.7,184.2,328.6,480.8,209.1,628.9,822.8
Chennai,Meenambakkam,27,24.7,39.8,7.5,24.3,69.1,72.6,188.3,333.8,485.7,232.3,643.2,823.8
Chennai,Meenambakkam,28,24.9,40.2,7.5,24.8,69.6,74.6,193.3,336.3,493.7,251.5,653.8,828
Chennai,Meenambakkam,29,25.1,,7.6,24.9,69.8,81.2,199.5,341,499.9,266.8,657.3,830.3
Chennai,Meenambakkam,30,25.1,,7.6,24.9,70.3,83.8,204.1,346.5,511.1,282.1,661.8,836.9
Chennai,Meenambakkam,31,25.5,,7.6,,71.5,,207.6,349.9,,295.7,,840.2
Chennai,Saidapet,1,1.3,23.9,0,4,5.1,0,37.6,134.2,254.5,13.8,244.5,606.3
Chennai,Saidapet,2,1.5,23.9,0,4,5.1,0.8,38.8,137.8,256,15.6,259.3,616.9
Chennai,Saidapet,3,2.5,23.9,0,4,6.2,1.9,41.9,143,257.1,23.1,267.5,624.7
Chennai,Saidapet,4,3.9,23.9,0,4,6.2,1.9,43.4,147.7,259.7,26.6,277.5,633.7
Chennai,Saidapet,5,4.1,23.9,0.2,4,6.2,2.8,43.9,150.7,261.6,32.6,292.8,642.9
Chennai,Saidapet,6,4.5,24.2,1.2,4,6.2,3.7,45.9,153.6,265,38.2,312.7,648.9
Chennai,Saidapet,7,6,25.4,1.2,4,7.7,3.9,46.9,159.8,266.8,46.3,326.9,654.3
Chennai,Saidapet,8,6,25.4,1.2,4,7.8,6.2,49.4,164.6,271.3,50.8,336.9,655.7
Chennai,Saidapet,9,7,25.4,1.2,4,7.8,6.8,53.6,167.5,273.4,57.5,345.1,659.5
Chennai,Saidapet,10,7,25.4,1.2,4,7.8,7.5,57.3,173.3,278,59.4,349.7,660.4
Chennai,Saidapet,11,7,25.4,1.2,4,8.8,10.1,60.4,176.5,282,64.1,366.8,665.1
Chennai,Saidapet,12,9.1,25.6,1.7,4,10.1,11,62.7,178.6,285.2,67.4,394.3,668.5
Chennai,Saidapet,13,13.2,26.7,1.7,4,10.6,11.3,63.7,181.7,285.8,67.9,447.7,671.8
Chennai,Saidapet,14,17.1,28.2,2.2,4,11.2,12.8,66,184.2,286.7,71,473.8,681.1
Chennai,Saidapet,15,19.9,29.3,2.2,4,11.2,13,70.6,187.3,289.3,73,480.9,684.5
Chennai,Saidapet,16,22,30.7,2.2,4,11.2,13.3,77.1,191.1,292.3,80.6,487,689
Chennai,Saidapet,17,22,41.5,2.2,4.1,11.2,13.5,80.1,201.5,299.2,88,490,690.4
Chennai,Saidapet,18,22.6,41.7,2.2,4.1,11.5,17.4,81.4,203.6,300.2,94.6,499.8,690.5
Chennai,Saidapet,19,23.1,41.7,2.2,4.2,11.5,21.4,85.3,208.6,312.3,100.6,513.1,690.6
Chennai,Saidapet,20,23.1,41.7,2.2,4.2,11.5,21.4,86,213.4,318,109.2,515.3,690.6
Chennai,Saidapet,21,23.1,41.7,2.2,4.3,11.5,22.3,90.1,216.2,319.4,117.5,519,690.7
Chennai,Saidapet,22,23.1,41.7,2.2,4.3,11.6,23.9,97.2,219,323.7,125,522,692.7
Chennai,Saidapet,23,23.1,41.7,2.2,4.4,11.6,27.2,98.6,222.4,326.2,133.4,526.9,700.1
Chennai,Saidapet,24,23.1,41.7,2.2,4.4,11.6,28,104.4,225.1,330.4,147.9,534.7,709.5
Chennai,Saidapet,25,23.3,41.7,2.2,4.4,12.5,29.1,108.7,227.1,335.4,164.2,566,712.3
Chennai,Saidapet,26,23.4,41.7,2.2,5,14.7,31.3,114.2,227.8,340,183.1,576.6,719
Chennai,Saidapet,27,23.4,41.7,2.2,5,14.9,32.4,117.2,229.8,350.7,203.2,589.8,719.6
Chennai,Saidapet,28,23.4,41.8,2.2,5.1,15.2,32.9,121.8,231.8,356.1,216.8,591.5,727.2
Chennai,Saidapet,29,23.9,,2.2,5.1,17.1,34.6,122.4,236.8,360.1,222.4,598.4,730.7
Chennai,Saidapet,30,23.9,,2.2,5.1,17.1,35.4,125.8,246.9,375.9,227.6,599.9,733
Chennai,Saidapet,31,23.9,,2.2,,17.4,,129.5,249.7,,235.1,,735.4
Kancheepuram,Kancheepuram,1,1.6,11.4,0,8.6,29.5,1,80.9,202.8,365.7,9.2,189.4,439.7
Kancheepuram,Kancheepuram,2,1.7,11.4,0,8.6,30.1,4.4,81.7,206.2,369.7,13.1,196.8,448.6
Kancheepuram,Kancheepuram,3,1.9,11.4,0.3,8.9,30.2,8.5,87.7,209.8,373.3,19.1,208.6,455.9
Kancheepuram,Kancheepuram,4,2,11.4,1.1,8.9,32.2,10.7,89.1,212,380.1,23.3,216.1,462.8
Kancheepuram,Kancheepuram,5,2.2,11.4,1.3,9.9,32.2,12.2,90.5,215.6,381.1,26.6,225.2,467.1
Kancheepuram,Kancheepuram,6,2.2,11.8,1.3,11.4,33.9,14.5,94,221.5,387.8,31.1,240.7,477.3
Kancheepuram,Kancheepuram,7,3.2,12.1,2.1,11.5,38.8,19.1,97.4,225.8,395.5,35.3,252,486.9
Kancheepuram,Kancheepuram,8,4,12.3,2.1,11.5,40.8,20.8,100.2,228.8,408,42.4,259.8,493.5
Kancheepuram,Kancheepuram,9,4.6,12.3,2.1,12.3,42.1,26.7,102.9,235.9,413.4,46.9,268.3,496.6
Kancheepuram,Kancheepuram,10,4.6,12.3,2.7,12.3,45.2,30.3,109.7,239.1,420.7,52.1,279,500.8
Kancheepuram,Kancheepuram,11,5,12.3,3.6,12.3,46.7,32.5,115.8,246,427.1,57.2,284.4,503.9
Kancheepuram,Kancheepuram,12,5,12.5,3.9,12.4,48.2,36,121.7,253,430.4,60.8,295.9,506.3
Kancheepuram,Kancheepuram,13,6,12.8,3.9,14.1,50.3,42.4,126.5,256.3,435.8,65.6,319.3,515.1
Kancheepuram,Kancheepuram,14,7.3,14.5,4.9,15.2,50.5,44.3,130.2,263.3,441,70,325.2,520.2
Kancheepuram,Kancheepuram,15,7.7,14.6,5,16.5,51.9,46.6,133.6,270.2,448.4,71.8,328.8,525.1
Kancheepuram,Kancheepuram,16,8.9,15.2,5.1,16.7,53.7,47.2,138.5,275.9,455.2,78.6,343,527.9
Kancheepuram,Kancheepuram,17,8.9,15.7,5.4,16.9,55,47.8,140.5,283,462.9,86,349.9,530
Kancheepuram,Kancheepuram,18,9,16.1,5.4,17.2,59.2,48.2,144.7,287.8,466.1,90.7,353.9,530.6
Kancheepuram,Kancheepuram,19,9.2,16.1,5.4,17.2,61,49,149.3,291.9,471,95.5,361,534
Kancheepuram,Kancheepuram,20,9.2,16.2,5.4,17.2,64.5,52,151.4,298,477.9,101.3,365.7,537.8
Kancheepuram,Kancheepuram,21,9.2,16.5,7.2,18.2,66.5,53.1,158.1,302.8,481.1,107.8,371,538.4
Kancheepuram,Kancheepuram,22,9.2,16.5,7.7,19.2,67.7,55.5,164.6,308.5,486.3,110.9,377,540.2
Kancheepuram,Kancheepuram,23,9.2,17.4,7.7,26,69.7,59.6,167.2,314.3,491.1,118.6,384.5,542.6
Kancheepuram,Kancheepuram,24,9.3,18.7,8.2,26.2,72,63.1,169.2,321.5,498,128.5,393.8,544
Kancheepuram,Kancheepuram,25,9.3,18.8,8.2,26.5,73.5,65.3,173.1,327,507,134.9,399.3,544.5
Kancheepuram,Kancheepuram,26,9.3,18.8,8.2,27.6,77.1,66.3,177.7,331,511.8,140.6,412.3,545.4
Kancheepuram,Kancheepuram,27,9.3,19,8.2,28.9,77.4,67.9,183.1,336,521.5,152.9,423.9,546.5
Kancheepuram,Kancheepuram,28,11.3,20,8.2,28.9,77.7,69.3,186.2,338.8,526.8,157.7,427.2,547.9
Kancheepuram,Kancheepuram,29,11.4,,8.2,28.9,80.5,72.6,190.9,346.2,537.4,166.8,430.3,548.9
Kancheepuram,Kancheepuram,30,11.4,,8.2,29.2,82.9,75.1,197.6,351.3,549,174.4,433.7,552.8
Kancheepuram,Kancheepuram,31,11.4,,8.2,,84.5,,200.3,359.7,,183.8,,556.4
Kancheepuram,Sriperumbudur,1,1.6,16,0,5.3,27.6,0.4,64.9,180.7,311.6,14.3,223.4,509.8
Kancheepuram,Sriperumbudur,2,3.4,16,0,5.9,28.1,1.5,68.1,183.2,314.7,16.8,233.9,526.5
Kancheepuram,Sriperumbudur,3,4.1,16,0.1,6,28.7,5.3,72.3,187.8,317.9,22.8,245.6,537.4
Kancheepuram,Sriperumbudur,4,4.7,16,0.1,6,30.4,6.3,74.3,189.7,322,27.4,255.6,547.9
Kancheepuram,Sriperumbudur,5,5.4,16,0.2,7.2,30.6,7,76.5,193.5,326.3,31.3,266.8,557.3
Kancheepuram,Sriperumbudur,6,5.6,16.1,0.2,8.6,32.1,8.4,79.7,194.8,330.2,34.3,284.5,564.7
Kancheepuram,Sriperumbudur,7,6.2,16.9,0.2,8.6,39.1,11.8,83.6,199.1,335,38,298,573.5
Kancheepuram,Sriperumbudur,8,7.4,17,0.2,8.6,41.8,13.1,86.3,202.5,339.5,44.7,307.6,576.3
Kancheepuram,Sriperumbudur,9,7.6,17.5,0.2,8.6,43,16.8,91.1,205.7,345.2,48.9,316.1,580.1
Kancheepuram,Sriperumbudur,10,8,18.2,0.2,10.1,43.2,19,96.9,210.6,350.5,52.4,328.9,583.3
Kancheepuram,Sriperumbudur,11,8.1,18.2,0.4,10.1,46.2,20.1,99.9,215.5,355.7,55.6,334.6,587.3
Kancheepuram,Sriperumbudur,12,8.2,18.2,0.8,10.2,48,21.2,106.6,218.8,360.8,58.5,351.7,591.1
Kancheepuram,Sriperumbudur,13,11.1,18.9,0.8,10.3,49.1,24.1,109.3,220.6,365.4,62.5,371.5,600.2
Kancheepuram,Sriperumbudur,14,12.7,20.3,1.3,11.4,49.5,29.1,111.8,227.3,371.9,68,377.4,605.3
Kancheepuram,Sriperumbudur,15,12.8,20.4,1.4,12.9,49.8,32.6,115.7,234.4,378.2,69.6,381.8,608.8
Kancheepuram,Sriperumbudur,16,14.7,20.6,1.4,13,50.2,33.4,121.6,240.1,385.8,76.1,398.4,615.6
Kancheepuram,Sriperumbudur,17,14.7,22.4,1.4,13.2,52.3,33.6,122.9,247.7,393.2,88,407.1,618.2
Kancheepuram,Sriperumbudur,18,14.9,22.8,2.8,13.5,55.1,34.8,126.1,255,395.7,93.1,413,619.6
Kancheepuram,Sriperumbudur,19,15.2,23.2,2.8,13.5,56.6,34.9,128.8,260.8,402.9,99.4,421.4,624.3
Kancheepuram,Sriperumbudur,20,15.2,23.4,2.8,13.5,58.1,36.2,130.6,264.6,408.6,107.2,424.4,627.9
Kancheepuram,Sriperumbudur,21,15.2,23.5,3.4,13.5,59.4,37.8,137.3,269.1,411.9,112.6,428.2,630.3
Kancheepuram,Sriperumbudur,22,15.2,23.5,4.5,14.9,59.5,42.1,140.7,275.1,415.5,117.7,434.9,632.9
Kancheepuram,Sriperumbudur,23,15.3,24.8,4.7,20,59.7,46.2,143.2,278.4,416.6,126.7,442.3,635.1
Kancheepuram,Sriperumbudur,24,15.3,25,4.7,20.2,60.1,48.7,146.4,282.8,419.6,136.7,453.1,639
Kancheepuram,Sriperumbudur,25,15.3,25,4.7,20.3,60.9,53.7,150.8,286.2,424.5,145.9,468.2,639.8
Kancheepuram,Sriperumbudur,26,15.3,25,5.1,23,64.3,55.5,155.6,289.3,428.8,155.3,481.8,642.5
Kancheepuram,Sriperumbudur,27,15.4,25,5.1,24.9,66.2,57.7,161.2,293.1,431.1,171.9,491.5,643.3
Kancheepuram,Sriperumbudur,28,15.5,25.3,5.1,25.5,67.9,58.9,164.3,294.8,435.8,183.8,496.4,645.2
Kancheepuram,Sriperumbudur,29,15.7,,5.1,26.3,68.5,62.8,168.6,297.6,443.4,195.6,500.1,646.8
Kancheepuram,Sriperumbudur,30,16,,5.1,26.7,69.8,64.1,172.4,300.9,453.7,202.6,502.6,651.5
Kancheepuram,Sriperumbudur,31,16,,5.1,,70.5,,176.6,308.5,,216.9,,656
Kancheepuram,Uthiramerur,1,0.6,7.6,0,7.5,17.2,1.4,60.8,152.4,290,9.5,182.4,429.5
Kancheepuram,Uthiramerur,2,1,7.6,0,7.5,17.8,2.8,63.6,159.1,293.5,13.3,192.7,442.9
Kancheepuram,Uthiramerur,3,1.1,7.6,0,7.5,18.4,4.5,66.7,162.2,297.6,17.3,201,454.1
Kancheepuram,Uthiramerur,4,1.5,7.6,0,7.5,20.2,4.7,69.8,165.3,299.4,27.1,211.3,462.6
Kancheepuram,Uthiramerur,5,1.8,7.6,0.8,8,22,7.8,70.5,169.5,299.9,34.5,226.8,469
Kancheepuram,Uthiramerur,6,1.8,8,0.9,8.7,24.6,10.7,72.1,174.3,306.1,39,238.2,478
Kancheepuram,Uthiramerur,7,1.8,8.6,2.4,8.7,28.8,14.6,75.1,176.8,312.9,42.1,244.9,484.1
Kancheepuram,Uthiramerur,8,3,9,2.4,8.8,33.2,15.3,77.3,180.3,316.1,46.9,252.9,489.4
Kancheepuram,Uthiramerur,9,3.3,9.1,2.4,8.9,33.3,16.4,77.8,187.6,321.3,51.9,262.2,495.6
Kancheepuram,Uthiramerur,10,3.3,9.6,2.4,8.9,34.7,20.9,79.9,191.1,326.9,57.2,274.1,502.7
Kancheepuram,Uthiramerur,11,3.3,9.7,2.8,8.9,35.3,22.6,83.2,194.4,330,59.7,281.3,508.2
Kancheepuram,Uthiramerur,12,3.4,10.5,3.4,8.9,38.3,24.2,86,198.5,333.5,62.5,291.6,511.1
Kancheepuram,Uthiramerur,13,4.9,12.7,3.6,9.4,38.9,26.6,89.5,203.3,337.4,68.7,303.5,519.8
Kancheepuram,Uthiramerur,14,6.2,12.8,3.9,9.8,38.9,33.8,92.8,207.9,340.5,72,314,525
Kancheepuram,Uthiramerur,15,6.3,12.9,3.9,10,40.1,35.6,96.1,211.5,344.6,76,322.2,529.3
Kancheepuram,Uthiramerur,16,6.3,13.4,3.9,10.7,41.1,37,96.6,217.2,348.5,78.2,335,533.9
Kancheepuram,Uthiramerur,17,6.6,13.4,4.1,10.7,42.5,38,98,222,353.5,83,341.3,535.8
Kancheepuram,Uthiramerur,18,6.9,13.4,4.5,10.7,43,38.8,102.1,228.6,355.2,87.1,344.2,536.8
Kancheepuram,Uthiramerur,19,6.9,13.4,4.5,10.7,44.7,40.7,107.3,232.1,360.8,92.8,347.6,541.2
Kancheepuram,Uthiramerur,20,6.9,13.4,4.5,10.7,45.8,44.5,107.6,236.6,367.4,98.8,350.1,544.5
Kancheepuram,Uthiramerur,21,7.5,13.4,6.3,11.1,45.9,44.8,114.5,241.6,372.2,104.1,354.9,545.8
Kancheepuram,Uthiramerur,22,7.5,13.4,7.1,13.5,47.2,46.4,117.1,247.6,376.5,108.4,363.3,548.5
Kancheepuram,Uthiramerur,23,7.5,13.7,7.2,13.9,47.9,49.1,122.7,251.9,378.6,114,372.1,551.3
Kancheepuram,Uthiramerur,24,7.5,15.6,7.2,14.1,49.3,51.3,125.5,256.1,384.6,119.6,380.1,552.8
Kancheepuram,Uthiramerur,25,7.5,15.6,7.2,14.8,50.8,52.7,131.4,260.6,388.8,125,387.5,553.6
Kancheepuram,Uthiramerur,26,7.5,16.1,7.2,15.7,51.4,53.1,132.4,264.1,391.4,129.4,396.9,553.6
Kancheepuram,Uthiramerur,27,7.5,16.4,7.2,16.5,52.5,53.7,136.4,265.3,395.1,137.7,402.6,553.6
Kancheepuram,Uthiramerur,28,7.6,17.9,7.2,16.5,53,54.5,140.8,267.3,399.9,147.8,407.2,554.6
Kancheepuram,Uthiramerur,29,7.6,,7.2,16.6,55.1,57.8,143.5,270.8,406.1,160.3,411.8,555.1
Kancheepuram,Uthiramerur,30,7.6,,7.2,16.6,56.3,60.2,146.4,272.7,413.3,166.7,418,558.1
Kancheepuram,Uthiramerur,31,7.6,,7.2,,56.3,,149.7,284.2,,172.6,,562.5
